leaf_task_id,content_id,unsupported_reason,target_family,hotspot_lane,notes
W6-PAR-05B1,background:ballad_of_the_grinning_fool,missing_runtime_hook_family,background_meta,data,remaining narrative background support promoted to canonical meta
W6-PAR-05B1,background:choose_a_feature,missing_runtime_hook_family,background_meta,data,remaining narrative background support promoted to canonical meta
W6-PAR-05B1,background:discovery,missing_runtime_hook_family,background_meta,data,remaining narrative background support promoted to canonical meta
W6-PAR-05B1,background:double_agent,missing_runtime_hook_family,background_meta,data,remaining narrative background support promoted to canonical meta
W6-PAR-05B1,background:down_low,missing_runtime_hook_family,background_meta,data,remaining narrative background support promoted to canonical meta
W6-PAR-05B1,background:dual_personalities,missing_runtime_hook_family,background_meta,data,remaining narrative background support promoted to canonical meta
W6-PAR-05B1,background:ear_to_the_ground,missing_runtime_hook_family,background_meta,data,remaining narrative background support promoted to canonical meta
W6-PAR-05B1,background:ex_convict,missing_runtime_hook_family,background_meta,data,remaining narrative background support promoted to canonical meta
W6-PAR-05B1,background:factor,missing_runtime_hook_family,background_meta,data,remaining narrative background support promoted to canonical meta
W6-PAR-05B1,background:false_identity,missing_runtime_hook_family,background_meta,data,remaining narrative background support promoted to canonical meta
W6-PAR-05B1,background:fearsome_reputation,missing_runtime_hook_family,background_meta,data,remaining narrative background support promoted to canonical meta
W6-PAR-05B1,background:feywild_connection,missing_runtime_hook_family,background_meta,data,remaining narrative background support promoted to canonical meta
W6-PAR-05B1,background:guerrilla,missing_runtime_hook_family,background_meta,data,remaining narrative background support promoted to canonical meta
W6-PAR-05B1,background:harborfolk,missing_runtime_hook_family,background_meta,data,remaining narrative background support promoted to canonical meta
W6-PAR-05B1,background:heart_of_darkness,missing_runtime_hook_family,background_meta,data,remaining narrative background support promoted to canonical meta
W6-PAR-05B1,background:highborn,missing_runtime_hook_family,background_meta,data,remaining narrative background support promoted to canonical meta
W6-PAR-05B1,background:historical_knowledge,missing_runtime_hook_family,background_meta,data,remaining narrative background support promoted to canonical meta
W6-PAR-05B1,background:house_connections,missing_runtime_hook_family,background_meta,data,remaining narrative background support promoted to canonical meta
